### Module positions - created on 2025-10-18 14:40
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 86.050mm, Pcb Width 110.050mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
TPdr2         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 32.5914    -51.0840   32.5914    -51.0840      0.0    top       THD
F5            Fuse                3586KTR                       71.3326    -47.0430   71.0786    -40.9660     -9.0    top       SMD
TPdr4         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 55.2743    -51.0840   55.2743    -51.0840      0.0    top       THD
Q4            IRLML6344TRPBF      TSOT-23                       59.7371    -56.8150   58.7871    -58.1250      9.0    top       SMD
TPoa8         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 109.0900   -56.8150   109.0900   -56.8150      0.0    top       THD
D1            LED                 LED_0805_2012Metric           20.6329    -56.7425   20.6329    -57.6800      9.0    top       SMD
TPdr3         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 43.9329    -51.0840   43.9329    -51.0840      0.0    top       THD
J3            39301040            Molex_Mini-Fit_Jr_5569-04A2.. 46.2957    -30.4600   46.2957    -30.4600      0.0    top       THD
TPj1          TestPoint           PinHeader_1x01_P1.00mm_Vert.. 19.8029    -41.6000   19.8029    -41.6000      0.0    top       THD
TPgt7         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 92.7600    -60.0200   92.7600    -60.0200      0.0    top       THD
TPgt4         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 58.7871    -59.9800   58.7871    -59.9800      0.0    top       THD
Rpd1          10K                 R_0805_2012Metric             21.6029    -53.8700   22.5154    -53.8700     18.0    top       SMD
TPj5          TestPoint           PinHeader_1x01_P1.00mm_Vert.. 65.1686    -41.6000   65.1686    -41.6000      0.0    top       THD
TPgnd1        GND                 PinHeader_1x01_P1.00mm_Vert.. 116.9100   -85.2300   116.9100   -85.2300      0.0    top       THD
TPoa5         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 75.0657    -56.8150   75.0657    -56.8150      0.0    top       THD
Q1            IRLML6344TRPBF      TSOT-23                       25.7129    -56.8150   24.7629    -58.1250      9.0    top       SMD
Rpd4          10K                 R_0805_2012Metric             55.6271    -53.8700   56.5396    -53.8700     18.0    top       SMD
Q5            IRLML6344TRPBF      TSOT-23                       71.0786    -56.8150   70.1286    -58.1250      9.0    top       SMD
Q3            IRLML6344TRPBF      TSOT-23                       48.3957    -56.8150   47.4457    -58.1250      9.0    top       SMD
F4            Fuse                3586KTR                       59.9911    -47.0430   59.7371    -40.9660     -9.0    top       SMD
Q6            IRLML6344TRPBF      TSOT-23                       82.4200    -56.8150   81.4700    -58.1250      9.0    top       SMD
D6            LED                 LED_0805_2012Metric           77.3400    -56.7425   77.3400    -57.6800      9.0    top       SMD
Rled3         100                 R_0805_2012Metric             45.5957    -56.7675   45.5957    -55.8550     -9.0    top       SMD
Rled8         100                 R_0805_2012Metric             102.3029   -56.7675   102.3029   -55.8550     -9.0    top       SMD
TPoa6         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 86.4071    -56.8150   86.4071    -56.8150      0.0    top       THD
TPdr1         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 21.2500    -51.0840   21.2500    -51.0840      0.0    top       THD
Rled4         100                 R_0805_2012Metric             56.9371    -56.7675   56.9371    -55.8550     -9.0    top       SMD
TP12v1        12V                 PinHeader_1x01_P1.00mm_Vert.. 111.8300   -85.2300   111.8300   -85.2300      0.0    top       THD
J5            39301040            Molex_Mini-Fit_Jr_5569-04A2.. 68.9786    -30.4600   68.9786    -30.4600      0.0    top       THD
F2            Fuse                3586KTR                       37.3083    -47.0430   37.0543    -40.9660     -9.0    top       SMD
TPj3          TestPoint           PinHeader_1x01_P1.00mm_Vert.. 42.4857    -41.6000   42.4857    -41.6000      0.0    top       THD
Rpd3          10K                 R_0805_2012Metric             44.2857    -53.8700   45.1982    -53.8700     18.0    top       SMD
TPj4          TestPoint           PinHeader_1x01_P1.00mm_Vert.. 53.8271    -41.6000   53.8271    -41.6000      0.0    top       THD
TPcanh1       CANH                PinHeader_1x01_P1.00mm_Vert.. 29.0400    -92.6200   29.0400    -92.6200      0.0    top       THD
TPgt5         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 70.1286    -59.9800   70.1286    -59.9800      0.0    top       THD
TPj7          TestPoint           PinHeader_1x01_P1.00mm_Vert.. 87.8514    -41.6000   87.8514    -41.6000      0.0    top       THD
TPgt3         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 47.4457    -59.9800   47.4457    -59.9800      0.0    top       THD
D3            LED                 LED_0805_2012Metric           43.3157    -56.7425   43.3157    -57.6800      9.0    top       SMD
J1            39301040            Molex_Mini-Fit_Jr_5569-04A2.. 23.6129    -30.4600   23.6129    -30.4600      0.0    top       THD
TPdr8         TestPoint           PinHeader_1x01_P1.00mm_Vert.. 100.6400   -51.0840   100.6400   -51.0840      0.0    top       THD
