Designator,Footprint,Quantity,Value,LCSC Part #
CBULK1,CAPAE1030X1050M,1,270uF,
"COP1, COP2, COP3, COP4, COP5, COP6, COP7, COP8, CTR1, CTR2",0805,10,100nF,
"D1, D2, D3, D4, D5, D6, D7, D8",0805,8,LED,
"D_TVS1, D_TVS2, D_TVS3, D_TVS4, D_TVS5, D_TVS6, D_TVS7, D_TVS8",D_SMF,8,D_Zener,
"F1, F2, F3, F4, F5, F6, F7, F8",3586KTR,8,Fuse,
"J1, J10, J2, J3, J4, J5, J6, J7, J8",Molex_Mini-Fit_Jr_5569-04A2_2x02_P4.20mm_Horizontal,9,39301040,
J11,ATF132PBM03,1,ATF13-2P-BM03,
J12,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J9,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,39301060,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
"OP1, OP2, OP3, OP4, OP5, OP6, OP7, OP8",SOT-23-6_Handsoldering,8,MCP6C02T-020,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",TSOT-23,8,IRLML6344TRPBF,
"RLED1, RLED2, RLED3, RLED4, RLED5, RLED6, RLED7, RLED8",0805,8,100,
"RPD1, RPD2, RPD3, RPD4, RPD5, RPD6, RPD7, RPD8, RPD9",0805,9,10K,
"RSH1, RSH2, RSH3, RSH4, RSH5, RSH6, RSH7, RSH8",2512,8,0.05,
RTERM1,0805,1,120,
SWSEL1,SWITCH_011CQN,1,SW_DPDT_x2,
T1,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562FD-E_SN,
TP1,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Pin,
TP2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
TP3,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16_Pin,
U1,MODULE_NUCLEO-L432KC,1,NUCLEO_L432KC,
